,sample_id,id,sentence,metaphor,gold_domain,majority_vote,top_ranked_domains
0,1,262,"He offered Congress wide latitude to pass climate change legislation, but  held in reserve the threat of E.P.A. regulation if it failed to act.",pass,PATHWAY,PATHWAY,"[""PATHWAY"",""OBJECT HANDLING"",""TEMPERATURE"",""MAGIC"",""MACHINE""]"
1,2,263,"They seemed to get their wish in 2016, when the board unanimously passed a resolution that called for the integration of climate change and climate justice into the curriculum at all district schools.",passed,PATHWAY,PATHWAY,"[""PATHWAY"",""RULE ENFORCER"",""LIFE STAGE"",""BLOOD STREAM"",""FABRIC""]"
2,3,264,"\\\Something's fishy when the Bush administration delays a report showing no improvement in fuel economy until after passage of their energy bill, which fails to improve fuel economy,\\\ said Daniel Becker, the Sierra Club's top global warming strategist.",passage,PATHWAY,PATHWAY,"[""PATHWAY"",""JOURNEY"",""LIFE STAGE"",""PHYSICAL HARM"",""COMPETITION""]"
3,4,265,"Other parts of Mr. Biden’s agenda, like passing a public health insurance option, combating climate change, raising the minimum wage and tackling racial justice, will be impossible to fully achieve without some bipartisan cooperation.",passing,PATHWAY,PATHWAY,"[""PATHWAY"",""RULE ENFORCER"",""PHYSICAL LOCATION"",""TEMPERATURE"",""IMPURITY""]"
4,5,270,"Mexico, which enacted an ambitious climate change law in 2012, has urged other Latin American nations to pass similar legislation.",pass,PATHWAY,PATHWAY,"[""PATHWAY"",""RULE ENFORCER"",""PARASITE"",""BUSINESS"",""IMPURITY""]"
5,6,271,"Paramount Classics is pulling out the political stops to pump its documentary about global warming, \\\AN INCONVENIENT TRUTH,\\\ which arrives just at the moment when the broader culture seems ready to pay attention.",ready,MOVEMENT,NO METAPHOR,"[""MOVEMENT"",""VEHICLE"",""A RIGHT"",""FACTORY"",""CROP""]"
6,7,272,"In 2014, as he prepared to sue the Obama administration over the climate change rules, Mr. Pruitt wrote a draft of what such a rule might look like, noting, “An anti-carbon agenda should not be forced upon the public through executive or administrative fiat.”",prepared,MOVEMENT,NO METAPHOR,"[""MOVEMENT"",""RESOURCE"",""GAP"",""FURNISHINGS"",""DOWNWARD MOVEMENT""]"
7,8,273,"Representative Eddie Bernice Johnson of Texas, who is poised to take over the House Science Committee from Lamar Smith, who disputes the scientific consensus on climate change, vowed the issue would be front and center for her.",poised,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""STRENGTH"",""ENERGY"",""SHAPE"",""FACTORY""]"
8,9,274,"President Bush is set to announce a plan today calling for voluntary measures to slow but not halt the growth in emissions of heat-trapping gases linked to global warming, White House officials said last night.",set,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""VEHICLE"",""NATURAL PHYSICAL FORCE"",""PHYSICAL HARM"",""STRENGTH""]"
9,10,275,Environmental protection advocates say Mr. Obama is poised to reject the pipeline project in large part to make a bold statement about his commitment to curb climate change in advance of a United Nations summit meeting in Paris.,poised,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""VEHICLE"",""CONFINEMENT"",""LIFE STAGE"",""BODY OF WATER""]"
10,11,276,"“The Energy Tax Prevention Act stops cap-and-trade regulations from taking effect once and for all,” Mr. Inhofe, the Senate’s most vocal climate change skeptic, said in a statement.",taking,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""RESOURCE"",""MAGIC"",""NATURAL PHYSICAL FORCE"",""HIGH LOCATION""]"
11,12,277,They delivered their promise to a House committee run by John Dingell — the crusty Michigan Democrat who is another convert to the cause and has taken to describing the global warming threat with phrases like “Hannibal is at the gates.”,taken,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""STRUGGLE"",""LOW POINT"",""LIFE STAGE""]"
12,13,278,"The debate over global warming has taken on all the characteristics of a political brawl, complete with spin doctors and aggressive advertising.",taken,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""COMPETITION"",""COMPETITION"",""LIGHT"",""FABRIC""]"
13,14,279,"House Republicans, many of whom reject the scientific consensus about the human causes of global warming, took aim at almost every program that had to do with global warming.",took,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""FORCEFUL EXTRACTION"",""STRUGGLE"",""NATURAL PHYSICAL FORCE"",""VISION""]"
14,15,280,"But with the Trump administration vowing to leave the Paris agreement on climate change — affirmed on Monday by Gary D. Cohn, the chief White House economic adviser, at a meeting with allied ministers — Democratic state governors are taking an increasingly conspicuous role on the international stage, forming something of an informal negotiating team.",taking,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""LEADER"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""BUILDING""]"
15,16,281,"Opposition to the carbon tax trailed away after Ms. Gillard’s ouster, and public concern about climate change has only grown.",ax,TOOL,NO METAPHOR,"[""TOOL"",""ANIMAL"",""JOURNEY"",""NATURAL PHYSICAL FORCE"",""UPWARD MOVEMENT""]"
16,17,283,"Jim Blackburn, a planner, environmental lawyer and something of a lightning rod around here, has been warning for years about climate change, the decrepit state of Houston’s reservoirs and the perils of developing the Katy Prairie.",rod,TOOL,TOOL,"[""TOOL"",""OBJECT HANDLING"",""EMOTION EXPERIENCER"",""PHYSICAL LOCATION"",""PROTECTION""]"
17,18,285,"The problem was that it became associated with its narrator, Al Gore, a prominent Democrat who served as a lightning rod for conservatives who maintain that climate change is a hoax.",rod,TOOL,TOOL,"[""TOOL"",""FURNISHINGS"",""LIGHT"",""BARRIER"",""ABYSS""]"
18,19,286,"Criticisms of Mr. Gore have come not only from conservative groups and prominent skeptics of catastrophic warming, but also from rank-and-file scientists like Dr. Easterbook, who told his peers that he had no political ax to grind.",ax,TOOL,TOOL,"[""TOOL"",""ANIMAL"",""PLIABILITY"",""EMOTION EXPERIENCER"",""DARKNESS""]"
19,20,288,"Mr. Gore, the Nobel laureate and star of “An Inconvenient Truth,” the Oscar-winning documentary on climate change, has long been a bit of a lightning rod when it comes to climate issues.",rod,TOOL,TOOL,"[""TOOL"",""FIRE"",""MACHINE"",""PLANT"",""OBJECT HANDLING""]"
20,21,289,"The midterm elections are around the corner, and here on the climate desk we’ve been looking at how the issue of climate change is playing out around the country.",corner,PATHWAY,PATHWAY,"[""PATHWAY"",""PORTAL"",""LIFE STAGE"",""BACKWARD MOVEMENT"",""SCIENCE""]"
21,22,293,"There will continue to be tension even with some of the scientists on the other side of the aisle: Mr. Hern, the aerospace engineer elected in Oklahoma, has questioned whether human activity is the primary cause of climate change, and Mr. Green, the doctor from Tennessee, repeated the debunked claim that vaccines can cause autism.",aisle,PATHWAY,PATHWAY,"[""PATHWAY"",""PORTAL"",""OBJECT HANDLING"",""DESTROYER"",""IMPURITY""]"
22,23,294,"Yet rather than talking about ways to reach across the aisle on climate change or offering clear ideas on how to work with fossil fuel-heavy red states on reducing emissions, Governor Brown said Republicans had sole responsibility for shifting positions.",aisle,PATHWAY,PATHWAY,"[""PATHWAY"",""BARRIER"",""VEHICLE"",""LOW POINT"",""A RIGHT""]"
23,24,296,The BBC has come under fire from the chairman of an influential committee of M.P.’s for favoring climate change skeptics in its coverage.,come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""UPWARD MOVEMENT"",""VEHICLE"",""IMPURITY"",""MOVEMENT""]"
24,25,297,"Despite lots of talk on Capitol Hill about the hazards of fossil fuels, their contribution to climate change and the need for broad, long-term supports for the renewables industry, legislators have failed to reach agreement on what that might look like.",reach,GOAL DIRECTED,GOAL DIRECTED,"[""GOAL DIRECTED"",""UPWARD MOVEMENT"",""BACKWARD MOVEMENT"",""PHYSICAL HARM"",""LEADER""]"
25,26,299,The E.P.A. decision came in response to a petition from environmental groups to take action on climate change and was a reversal of the Clinton administration's policy on the matter.,came,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""PHYSICAL LOCATION"",""CROP"",""SCIENCE"",""ENSLAVEMENT""]"
26,27,301,It also comes as the presidential candidates are being pressed by private environmental groups to add more detail to their positions on global warming.,comes,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""PHYSICAL LOCATION"",""FORCEFUL EXTRACTION"",""FAMILY"",""OBESITY""]"
27,28,302,"The bill, which was expected to come to a vote before the State Senate as early as Tuesday evening, is the latest and perhaps most far-reaching accomplishment for a newly elected Democratic majority in Albany, including a coterie of new progressive lawmakers for whom fighting climate change is a top priority.",come,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""PHYSICAL LOCATION"",""ABYSS"",""CONFINEMENT"",""HIGH LOCATION""]"
28,29,303,"If it keeps on warming, they’ll get nailed there too.",nailed,TOOL,TOOL,"[""TOOL"",""BUILDING"",""PORTAL"",""MAZE"",""WEAKNESS""]"
